"","age","job","marital","education","contact","days_since._signed_in","Time.spend.on.website","Number_of_campaigns","previous_purchases","Purchase_Made"
"1023",41,"housemaid","single","secondary","cellular",9,76,2,0,"no"
"1024",31,"admin.","married","secondary","unknown",6,144,2,0,"no"
"1025",32,"technician","married","secondary","cellular",19,168,2,0,"no"
"1026",38,"management","married","tertiary","cellular",30,140,1,3,"no"
"1027",49,"retired","single","primary","unknown",17,94,1,0,"no"
"1028",46,"management","single","primary","unknown",17,118,3,0,"no"
"1029",29,"technician","single","secondary","cellular",18,382,1,0,"no"
"1030",36,"admin.","married","unknown","cellular",19,111,1,0,"no"
"1031",38,"admin.","married","secondary","cellular",15,298,2,0,"no"
"1032",53,"technician","married","secondary","unknown",30,121,1,0,"no"
"1033",43,"management","married","tertiary","unknown",15,317,7,0,"no"
"1034",41,"management","married","tertiary","unknown",5,42,1,0,"no"
"1035",42,"management","single","secondary","cellular",5,81,2,0,"no"
"1036",55,"blue-collar","divorced","secondary","cellular",3,296,1,3,"yes"
"1037",39,"admin.","divorced","secondary","telephone",25,259,2,0,"no"
"1038",30,"admin.","single","secondary","cellular",6,121,6,3,"no"
"1039",41,"blue-collar","married","secondary","cellular",15,432,3,0,"no"
"1040",44,"unemployed","married","tertiary","cellular",8,126,2,0,"no"
"1041",58,"management","married","tertiary","cellular",16,120,4,0,"no"
"1042",35,"retired","married","primary","cellular",29,136,1,0,"no"
"1043",27,"blue-collar","married","secondary","cellular",17,1130,3,0,"no"
"1044",34,"services","married","secondary","cellular",17,330,2,3,"yes"
"1045",25,"services","married","secondary","cellular",23,305,2,0,"no"
"1046",36,"blue-collar","married","secondary","unknown",20,332,3,0,"no"
"1047",38,"blue-collar","married","secondary","unknown",9,412,1,0,"no"
"1048",30,"admin.","married","secondary","cellular",11,157,1,0,"no"
"1049",47,"blue-collar","divorced","secondary","cellular",30,71,2,0,"no"
"1050",41,"services","divorced","secondary","cellular",8,297,2,0,"no"
"1051",36,"management","single","tertiary","cellular",18,307,1,0,"no"
"1052",63,"entrepreneur","married","secondary","telephone",4,250,2,2,"yes"
"1053",23,"management","single","tertiary","cellular",30,119,1,0,"no"
"1054",32,"management","married","tertiary","cellular",7,116,2,0,"no"
"1055",57,"retired","married","primary","telephone",7,274,1,0,"no"
"1056",48,"management","married","tertiary","cellular",5,389,1,2,"yes"
"1057",49,"services","married","secondary","cellular",4,143,1,0,"no"
"1058",50,"technician","married","secondary","unknown",28,860,2,0,"no"
"1059",33,"blue-collar","married","primary","unknown",21,420,2,0,"no"
"1060",53,"services","divorced","secondary","unknown",28,213,1,0,"no"
"1061",30,"unemployed","married","tertiary","cellular",18,756,1,0,"no"
"1062",38,"technician","married","secondary","cellular",7,259,3,0,"no"
"1063",44,"management","married","secondary","cellular",23,201,16,0,"no"
"1064",39,"admin.","single","secondary","unknown",13,19,9,0,"no"
"1065",45,"technician","single","unknown","cellular",18,53,1,3,"no"
"1066",36,"blue-collar","married","secondary","cellular",14,224,4,0,"yes"
"1067",38,"blue-collar","married","secondary","cellular",13,57,5,1,"no"
"1068",36,"housemaid","married","secondary","unknown",30,251,1,0,"no"
"1069",30,"management","single","tertiary","cellular",16,39,1,3,"no"
"1070",28,"technician","divorced","tertiary","unknown",18,54,3,0,"no"
"1071",26,"unemployed","married","tertiary","unknown",23,28,18,0,"no"
"1072",38,"admin.","married","tertiary","cellular",27,164,2,2,"yes"
"1073",32,"technician","single","tertiary","cellular",7,268,2,0,"no"
"1074",50,"admin.","divorced","secondary","cellular",17,148,1,0,"no"
"1075",43,"blue-collar","married","secondary","unknown",7,228,3,0,"no"
"1076",48,"admin.","married","secondary","cellular",18,139,5,0,"no"
"1077",57,"housemaid","married","primary","cellular",18,89,3,0,"no"
"1078",64,"housemaid","married","primary","cellular",15,250,2,1,"no"
"1079",26,"services","divorced","secondary","unknown",23,106,6,0,"no"
"1080",33,"blue-collar","married","secondary","cellular",18,968,1,0,"yes"
"1081",50,"self-employed","married","secondary","cellular",6,168,3,0,"no"
"1082",47,"self-employed","married","tertiary","cellular",24,408,14,0,"no"
"1083",39,"management","single","tertiary","cellular",23,56,4,0,"no"
"1084",52,"services","married","primary","cellular",28,55,5,0,"no"
"1085",31,"blue-collar","single","primary","unknown",29,76,4,0,"no"
"1086",50,"blue-collar","married","primary","cellular",11,72,5,0,"no"
"1087",47,"technician","married","secondary","cellular",13,99,3,0,"no"
"1088",30,"management","single","tertiary","cellular",27,13,15,0,"no"
"1089",32,"technician","single","tertiary","cellular",14,178,1,0,"no"
"1090",36,"technician","married","secondary","unknown",9,287,1,0,"no"
"1091",46,"technician","married","tertiary","cellular",14,141,1,2,"no"
"1092",45,"management","divorced","tertiary","cellular",21,127,1,2,"no"
"1093",37,"technician","single","secondary","cellular",4,69,2,0,"no"
"1094",58,"housemaid","married","primary","unknown",4,763,4,0,"no"
"1095",59,"management","married","tertiary","cellular",17,122,1,1,"no"
"1096",28,"management","married","tertiary","cellular",18,143,1,0,"no"
"1097",48,"management","married","tertiary","cellular",2,316,3,0,"no"
"1098",55,"blue-collar","married","unknown","telephone",30,89,2,0,"no"
"1099",37,"blue-collar","single","primary","cellular",15,151,1,1,"no"
"1100",41,"management","married","tertiary","cellular",19,40,1,0,"no"
"1101",35,"blue-collar","married","secondary","unknown",4,5,1,12,"no"
"1102",34,"blue-collar","single","secondary","cellular",18,90,1,0,"no"
"1103",43,"management","single","tertiary","cellular",21,50,1,5,"no"
"1104",59,"technician","married","secondary","cellular",15,159,2,3,"yes"
"1105",50,"blue-collar","divorced","primary","cellular",10,369,6,0,"no"
"1106",37,"technician","married","secondary","cellular",22,344,2,8,"yes"
"1107",35,"technician","married","secondary","cellular",4,256,2,1,"no"
"1108",50,"technician","single","secondary","cellular",26,298,1,0,"no"
"1109",36,"technician","divorced","secondary","cellular",11,268,3,0,"no"
"1110",41,"admin.","married","secondary","cellular",13,231,1,0,"no"
"1111",28,"management","married","tertiary","unknown",27,4,4,0,"no"
"1112",42,"technician","single","tertiary","cellular",12,78,5,3,"no"
"1113",60,"retired","married","secondary","unknown",5,419,1,0,"no"
"1114",28,"management","single","tertiary","telephone",13,421,3,0,"no"
"1115",48,"entrepreneur","married","secondary","cellular",10,105,1,0,"no"
"1116",51,"entrepreneur","married","tertiary","unknown",6,42,1,0,"no"
"1117",32,"technician","married","tertiary","cellular",26,114,7,3,"no"
"1118",35,"technician","married","tertiary","cellular",26,286,2,0,"no"
"1119",37,"technician","married","unknown","cellular",1,238,1,2,"yes"
"1120",38,"blue-collar","divorced","secondary","unknown",11,91,1,0,"no"
"1121",77,"retired","married","secondary","cellular",13,766,3,0,"no"
"1122",32,"management","single","unknown","cellular",28,92,1,0,"no"
"1123",43,"technician","divorced","secondary","cellular",4,211,3,0,"no"
"1124",36,"management","single","tertiary","cellular",7,160,2,3,"no"
"1125",29,"management","married","tertiary","cellular",3,166,3,0,"no"
"1126",32,"admin.","single","secondary","cellular",21,195,1,0,"no"
"1127",41,"management","divorced","tertiary","cellular",16,106,1,0,"no"
"1128",26,"services","single","secondary","cellular",23,85,3,0,"no"
"1129",34,"blue-collar","married","primary","cellular",24,78,1,0,"no"
"1130",57,"retired","married","tertiary","unknown",28,648,1,0,"yes"
"1131",36,"services","single","secondary","cellular",18,177,2,1,"no"
"1132",42,"blue-collar","married","secondary","unknown",27,32,1,0,"no"
"1133",35,"technician","divorced","secondary","cellular",29,24,12,0,"no"
"1134",52,"entrepreneur","divorced","primary","unknown",7,688,2,0,"no"
"1135",36,"management","single","tertiary","unknown",27,21,5,0,"no"
"1136",46,"technician","married","secondary","unknown",27,112,1,0,"no"
"1137",60,"management","divorced","tertiary","cellular",3,593,1,0,"yes"
"1138",57,"housemaid","married","primary","cellular",7,59,2,0,"no"
"1139",48,"management","married","tertiary","cellular",29,121,3,0,"no"
"1140",59,"self-employed","married","primary","telephone",28,97,2,0,"no"
"1141",39,"management","married","tertiary","cellular",11,86,2,0,"no"
"1142",44,"blue-collar","married","secondary","cellular",14,10,10,0,"no"
"1143",27,"management","single","tertiary","cellular",23,205,3,0,"no"
"1144",59,"retired","married","secondary","unknown",9,77,2,0,"no"
"1145",36,"technician","divorced","secondary","cellular",18,138,2,0,"no"
"1146",44,"admin.","married","secondary","cellular",3,289,1,0,"yes"
"1147",50,"admin.","married","secondary","cellular",4,86,4,0,"no"
"1148",41,"management","divorced","tertiary","telephone",22,9,3,0,"no"
"1149",47,"admin.","married","secondary","cellular",14,225,1,1,"no"
"1150",32,"technician","single","tertiary","cellular",22,407,4,0,"no"
"1151",38,"blue-collar","married","secondary","unknown",3,1030,6,0,"no"
"1152",55,"blue-collar","married","unknown","cellular",13,123,2,0,"no"
"1153",38,"management","single","tertiary","cellular",22,119,4,0,"no"
"1154",31,"management","single","tertiary","cellular",18,175,1,5,"no"
"1155",38,"blue-collar","divorced","secondary","unknown",9,299,5,0,"no"
"1156",29,"unemployed","single","tertiary","cellular",5,563,1,0,"no"
"1157",55,"services","married","secondary","unknown",9,241,1,0,"no"
"1158",35,"unemployed","married","secondary","cellular",4,52,4,1,"no"
"1159",40,"self-employed","single","tertiary","cellular",2,76,3,0,"no"
"1160",34,"blue-collar","married","secondary","cellular",19,441,1,0,"no"
"1161",32,"technician","single","tertiary","cellular",22,319,1,1,"yes"
"1162",33,"blue-collar","married","secondary","unknown",18,13,1,6,"no"
"1163",33,"management","married","tertiary","unknown",16,803,1,0,"yes"
"1164",37,"admin.","married","secondary","cellular",12,396,2,0,"no"
"1165",58,"management","married","tertiary","unknown",18,188,1,0,"no"
"1166",36,"admin.","single","secondary","cellular",20,637,1,0,"no"
"1167",42,"blue-collar","married","secondary","unknown",5,175,7,0,"no"
"1168",34,"technician","single","secondary","cellular",6,945,1,1,"no"
"1169",35,"management","married","tertiary","unknown",23,162,3,0,"no"
"1170",60,"housemaid","married","primary","unknown",12,1178,3,0,"no"
"1171",50,"management","married","tertiary","cellular",8,506,2,3,"no"
"1172",28,"self-employed","single","tertiary","cellular",12,409,2,0,"yes"
"1173",27,"blue-collar","divorced","secondary","cellular",14,116,3,0,"no"
"1174",37,"management","married","tertiary","cellular",30,244,1,0,"yes"
"1175",31,"technician","married","tertiary","cellular",4,352,4,0,"yes"
"1176",34,"services","married","secondary","cellular",12,152,1,6,"yes"
"1177",38,"management","married","tertiary","unknown",21,164,2,0,"no"
"1178",32,"self-employed","married","secondary","unknown",28,234,3,0,"no"
"1179",37,"technician","married","secondary","cellular",27,154,4,0,"no"
"1180",33,"admin.","married","secondary","unknown",7,566,2,0,"no"
"1181",71,"technician","married","tertiary","cellular",27,327,2,3,"no"
"1182",27,"technician","married","secondary","cellular",7,265,3,0,"no"
"1183",38,"blue-collar","married","primary","unknown",9,172,1,0,"no"
"1184",34,"technician","single","secondary","cellular",22,257,2,0,"no"
"1185",54,"retired","divorced","tertiary","unknown",13,618,1,0,"yes"
"1186",30,"blue-collar","married","secondary","cellular",28,241,3,0,"no"
"1187",35,"entrepreneur","single","secondary","cellular",21,936,4,0,"no"
"1188",33,"blue-collar","single","secondary","cellular",7,329,1,1,"no"
"1189",36,"management","married","secondary","cellular",14,24,1,1,"no"
"1190",59,"self-employed","married","tertiary","cellular",22,177,5,1,"no"
"1191",72,"blue-collar","married","primary","telephone",13,120,1,0,"no"
"1192",64,"management","married","tertiary","telephone",22,135,3,0,"no"
"1193",53,"technician","divorced","secondary","cellular",9,175,1,0,"no"
"1194",35,"management","single","tertiary","cellular",25,179,1,0,"no"
"1195",58,"self-employed","married","secondary","unknown",30,58,1,0,"no"
"1196",40,"technician","married","secondary","cellular",17,342,2,0,"no"
"1197",41,"services","divorced","secondary","cellular",13,139,2,0,"no"
"1198",48,"retired","married","primary","unknown",18,88,8,0,"no"
"1199",44,"entrepreneur","married","tertiary","cellular",28,210,3,0,"no"
"1200",39,"blue-collar","married","unknown","cellular",2,731,1,3,"no"
"1201",61,"management","married","tertiary","cellular",2,670,3,0,"yes"
"1202",36,"entrepreneur","married","primary","unknown",12,63,5,0,"no"
"1203",28,"management","married","tertiary","cellular",8,70,2,0,"no"
"1204",58,"retired","single","secondary","cellular",4,72,6,4,"no"
"1205",60,"admin.","divorced","secondary","cellular",15,241,1,1,"no"
"1206",66,"admin.","single","secondary","cellular",5,272,4,0,"no"
"1207",36,"management","single","tertiary","cellular",28,207,8,1,"yes"
"1208",49,"self-employed","married","secondary","cellular",15,64,6,0,"no"
"1209",40,"services","married","secondary","unknown",12,543,2,0,"no"
"1210",23,"technician","single","secondary","cellular",30,166,1,0,"no"
"1211",29,"management","single","tertiary","cellular",26,245,3,7,"no"
"1212",44,"blue-collar","married","primary","unknown",9,94,1,0,"no"
"1213",47,"blue-collar","married","primary","telephone",30,203,2,0,"no"
"1214",33,"admin.","married","tertiary","cellular",24,318,1,0,"no"
"1215",30,"self-employed","married","secondary","cellular",13,158,4,0,"no"
"1216",27,"admin.","single","secondary","cellular",21,177,1,0,"no"
"1217",49,"management","divorced","tertiary","unknown",17,56,1,2,"no"
"1218",27,"services","single","secondary","unknown",4,172,2,0,"no"
"1219",51,"blue-collar","married","secondary","cellular",7,136,1,1,"no"
"1220",32,"admin.","divorced","secondary","cellular",18,82,3,2,"no"
"1221",30,"blue-collar","single","secondary","unknown",16,123,1,0,"no"
"1222",33,"admin.","married","secondary","cellular",20,110,1,0,"no"
"1223",27,"blue-collar","single","primary","unknown",30,385,5,0,"no"
"1224",75,"retired","divorced","secondary","cellular",18,415,7,0,"yes"
"1225",37,"services","divorced","secondary","cellular",2,73,1,0,"no"
"1226",36,"technician","single","secondary","unknown",16,243,2,0,"no"
"1227",37,"blue-collar","married","secondary","unknown",9,137,2,0,"no"
"1228",35,"management","married","tertiary","unknown",23,55,4,0,"no"
"1229",32,"services","married","secondary","cellular",20,18,5,0,"no"
"1230",32,"admin.","single","secondary","cellular",16,255,2,0,"no"
"1231",35,"admin.","married","primary","cellular",11,95,1,0,"no"
"1232",31,"blue-collar","married","primary","cellular",10,112,1,0,"no"
"1233",28,"blue-collar","single","secondary","cellular",5,205,2,0,"no"
"1234",27,"services","married","secondary","cellular",18,97,1,1,"no"
"1235",22,"student","single","unknown","cellular",2,154,1,0,"no"
"1236",35,"blue-collar","married","primary","cellular",13,135,2,2,"no"
"1237",69,"retired","married","primary","cellular",14,230,1,0,"no"
"1238",37,"entrepreneur","single","tertiary","cellular",17,349,1,0,"no"
"1239",45,"admin.","single","secondary","cellular",8,38,1,0,"no"
"1240",47,"management","married","tertiary","cellular",22,268,1,0,"no"
"1241",52,"management","married","tertiary","cellular",11,94,4,0,"no"
"1242",33,"services","married","secondary","cellular",28,263,2,0,"no"
"1243",60,"blue-collar","married","primary","cellular",18,671,4,0,"yes"
"1244",33,"management","divorced","secondary","unknown",2,197,1,0,"no"
"1245",44,"admin.","married","secondary","cellular",28,180,2,0,"no"
"1246",38,"entrepreneur","married","secondary","cellular",20,452,2,0,"no"
"1247",54,"entrepreneur","married","secondary","unknown",15,352,1,0,"no"
"1248",32,"unemployed","divorced","primary","cellular",15,175,4,0,"no"
"1249",33,"technician","married","secondary","cellular",19,163,2,0,"no"
"1250",55,"services","divorced","secondary","unknown",29,200,2,0,"no"
"1251",51,"blue-collar","married","primary","unknown",16,75,7,0,"no"
"1252",48,"blue-collar","married","secondary","cellular",16,227,1,0,"no"
"1253",37,"services","single","secondary","cellular",3,586,3,0,"no"
"1254",33,"services","single","secondary","cellular",10,119,5,0,"no"
"1255",30,"blue-collar","married","primary","telephone",22,80,2,0,"no"
"1256",43,"blue-collar","married","primary","cellular",12,112,2,3,"no"
"1257",49,"technician","married","secondary","unknown",19,130,2,0,"no"
"1258",54,"unemployed","married","primary","cellular",3,237,3,0,"no"
"1259",31,"unemployed","married","tertiary","cellular",26,377,8,0,"no"
"1260",36,"unemployed","married","secondary","cellular",29,121,3,0,"no"
"1261",30,"admin.","married","secondary","cellular",15,127,5,0,"no"
"1262",27,"technician","single","secondary","unknown",1,650,2,0,"yes"
"1263",30,"admin.","married","secondary","unknown",16,107,1,0,"no"
"1264",30,"blue-collar","married","secondary","unknown",20,610,2,0,"no"
"1265",35,"technician","divorced","secondary","cellular",25,124,4,0,"no"
"1266",33,"services","divorced","secondary","unknown",8,216,1,0,"no"
"1267",43,"blue-collar","divorced","primary","cellular",31,747,4,0,"no"
"1268",41,"blue-collar","married","secondary","cellular",11,313,1,3,"no"
"1269",41,"management","divorced","tertiary","cellular",23,252,9,5,"yes"
"1270",46,"admin.","divorced","secondary","cellular",13,121,1,0,"yes"
"1271",54,"blue-collar","married","secondary","unknown",7,799,1,0,"no"
"1272",32,"management","married","tertiary","cellular",23,883,1,4,"no"
"1273",30,"technician","single","tertiary","unknown",16,197,1,0,"no"
"1274",40,"entrepreneur","married","primary","cellular",11,271,2,0,"no"
"1275",30,"blue-collar","married","primary","unknown",12,221,2,0,"no"
"1276",27,"admin.","married","secondary","cellular",14,243,3,0,"no"
"1277",41,"blue-collar","married","primary","unknown",15,72,1,0,"no"
"1278",54,"services","married","secondary","cellular",2,155,2,0,"no"
"1279",32,"management","single","tertiary","telephone",28,70,2,0,"no"
"1280",31,"management","married","tertiary","cellular",11,280,4,0,"yes"
"1281",42,"blue-collar","married","secondary","unknown",26,115,2,0,"no"
"1282",48,"admin.","married","primary","unknown",20,29,2,0,"no"
"1283",34,"blue-collar","married","primary","cellular",14,406,2,0,"no"
"1284",55,"technician","divorced","secondary","cellular",25,113,3,0,"no"
"1285",49,"technician","married","secondary","telephone",30,47,2,0,"no"
"1286",46,"management","divorced","tertiary","unknown",5,36,2,0,"no"
"1287",47,"entrepreneur","married","unknown","unknown",6,135,2,0,"no"
"1288",24,"management","single","tertiary","cellular",3,67,2,0,"no"
"1289",58,"entrepreneur","married","secondary","unknown",16,684,1,0,"no"
"1290",32,"management","single","tertiary","cellular",21,686,5,0,"yes"
"1291",25,"student","single","secondary","cellular",2,170,3,0,"no"
"1292",49,"blue-collar","married","secondary","unknown",17,150,3,0,"no"
"1293",59,"retired","divorced","secondary","cellular",14,1060,2,0,"yes"
"1294",30,"management","single","tertiary","unknown",6,122,16,0,"no"
"1295",46,"blue-collar","married","secondary","unknown",26,724,1,0,"no"
"1296",42,"management","married","unknown","cellular",19,230,1,1,"yes"
"1297",37,"entrepreneur","married","tertiary","unknown",20,187,2,0,"no"
"1298",44,"blue-collar","married","primary","unknown",19,179,4,0,"no"
"1299",49,"services","married","secondary","cellular",4,357,3,0,"no"
"1300",41,"blue-collar","married","secondary","unknown",5,82,1,0,"no"
"1301",48,"technician","married","tertiary","telephone",26,176,15,0,"no"
"1302",31,"management","married","secondary","cellular",7,424,1,1,"no"
"1303",37,"student","married","unknown","unknown",18,115,1,0,"no"
"1304",51,"services","married","secondary","cellular",3,177,2,3,"no"
"1305",80,"retired","married","secondary","telephone",9,712,1,12,"yes"
"1306",32,"management","single","tertiary","unknown",6,118,1,0,"no"
"1307",48,"services","married","primary","unknown",2,25,7,0,"no"
"1308",49,"blue-collar","married","tertiary","unknown",12,753,1,0,"no"
"1309",30,"management","married","tertiary","cellular",17,124,1,0,"no"
"1310",27,"self-employed","single","secondary","cellular",30,208,2,0,"no"
"1311",34,"technician","married","secondary","cellular",13,136,4,0,"no"
"1312",49,"management","married","secondary","cellular",19,1081,2,0,"yes"
"1313",48,"management","married","tertiary","telephone",7,376,2,7,"no"
"1314",40,"services","married","secondary","cellular",4,78,1,0,"no"
"1315",38,"blue-collar","married","secondary","cellular",18,354,1,0,"no"
"1316",46,"blue-collar","married","primary","cellular",6,29,1,2,"no"
"1317",41,"entrepreneur","married","tertiary","cellular",19,209,1,4,"no"
"1318",28,"management","single","tertiary","cellular",14,433,1,0,"no"
"1319",51,"services","married","unknown","unknown",29,147,2,0,"no"
"1320",33,"blue-collar","divorced","primary","telephone",11,41,2,5,"no"
"1321",26,"management","single","tertiary","unknown",26,111,1,0,"no"
"1322",34,"admin.","single","secondary","cellular",14,108,2,0,"no"
"1323",27,"blue-collar","married","secondary","cellular",7,411,2,0,"no"
"1324",42,"self-employed","married","secondary","cellular",10,108,2,0,"no"
"1325",45,"admin.","married","secondary","cellular",3,224,2,0,"yes"
"1326",31,"technician","single","secondary","unknown",12,1083,2,0,"no"
"1327",32,"management","single","tertiary","unknown",12,757,2,0,"yes"
"1328",39,"blue-collar","married","primary","unknown",17,57,1,0,"no"
"1329",26,"blue-collar","single","secondary","cellular",30,95,5,0,"no"
"1330",40,"management","single","tertiary","cellular",15,144,2,1,"no"
"1331",52,"services","married","secondary","cellular",16,135,1,0,"no"
"1332",40,"technician","single","tertiary","cellular",15,176,2,0,"no"
"1333",48,"technician","married","secondary","cellular",7,524,5,0,"no"
"1334",31,"services","married","secondary","unknown",13,65,1,0,"no"
"1335",27,"admin.","married","secondary","cellular",6,653,1,2,"yes"
"1336",47,"technician","married","secondary","unknown",11,91,1,2,"yes"
"1337",28,"management","single","secondary","cellular",10,93,1,0,"yes"
"1338",40,"management","divorced","tertiary","cellular",6,503,2,2,"no"
"1339",34,"admin.","married","secondary","cellular",13,186,1,2,"no"
"1340",29,"self-employed","married","tertiary","unknown",23,121,2,0,"no"
"1341",36,"management","married","tertiary","cellular",19,452,2,0,"no"
"1342",83,"retired","married","primary","telephone",22,883,1,1,"yes"
"1343",55,"services","divorced","primary","unknown",15,104,2,0,"no"
"1344",43,"management","divorced","tertiary","cellular",29,24,3,0,"no"
"1345",23,"student","single","secondary","telephone",19,79,9,0,"no"
"1346",44,"technician","married","tertiary","cellular",4,178,2,0,"no"
"1347",58,"blue-collar","married","primary","cellular",15,74,2,0,"no"
"1348",29,"admin.","single","secondary","cellular",10,217,1,7,"no"
"1349",30,"management","single","tertiary","cellular",2,475,1,0,"no"
"1350",29,"admin.","single","secondary","cellular",7,127,1,0,"no"
"1351",41,"technician","married","secondary","cellular",11,101,1,0,"no"
"1352",35,"housemaid","married","primary","cellular",14,340,3,0,"no"
"1353",31,"technician","single","secondary","cellular",23,158,4,0,"no"
"1354",27,"admin.","single","tertiary","cellular",29,242,1,0,"no"
"1355",47,"services","married","secondary","unknown",16,323,1,0,"no"
"1356",53,"self-employed","married","tertiary","unknown",16,18,30,0,"no"
"1357",34,"management","married","tertiary","cellular",14,68,3,0,"no"
"1358",34,"blue-collar","married","primary","cellular",9,134,4,0,"no"
"1359",36,"management","married","tertiary","cellular",14,113,3,0,"no"
"1360",40,"technician","married","secondary","cellular",18,43,4,0,"no"
"1361",37,"self-employed","single","tertiary","unknown",17,200,2,0,"no"
"1362",65,"retired","divorced","unknown","cellular",2,245,2,0,"no"
"1363",53,"technician","divorced","secondary","unknown",16,343,4,0,"no"
"1364",28,"technician","single","secondary","cellular",3,229,1,0,"no"
"1365",33,"technician","divorced","tertiary","unknown",23,530,1,0,"no"
"1366",56,"blue-collar","married","primary","cellular",13,58,5,0,"no"
"1367",45,"self-employed","married","secondary","cellular",30,78,2,1,"no"
"1368",39,"technician","married","secondary","unknown",5,147,1,0,"no"
"1369",28,"management","single","tertiary","cellular",25,40,1,0,"no"
"1370",36,"blue-collar","married","primary","cellular",18,618,2,0,"no"
"1371",41,"blue-collar","married","primary","cellular",20,23,4,0,"no"
"1372",46,"admin.","married","secondary","cellular",20,293,1,4,"yes"
"1373",41,"blue-collar","married","secondary","cellular",13,16,6,5,"no"
"1374",59,"services","married","secondary","cellular",23,286,2,0,"no"
"1375",24,"admin.","married","secondary","cellular",6,209,1,1,"no"
"1376",34,"management","married","tertiary","unknown",21,935,1,0,"no"
"1377",40,"blue-collar","married","primary","unknown",27,260,1,0,"no"
"1378",42,"admin.","married","secondary","unknown",16,298,4,0,"no"
"1379",50,"services","married","secondary","cellular",15,397,2,1,"no"
"1380",25,"management","single","tertiary","cellular",17,113,4,1,"no"
"1381",51,"services","divorced","secondary","telephone",17,76,1,0,"no"
"1382",50,"management","married","tertiary","cellular",1,141,1,0,"no"
"1383",37,"blue-collar","married","unknown","unknown",23,773,2,0,"no"
"1384",21,"services","single","secondary","telephone",5,329,1,1,"no"
"1385",52,"blue-collar","married","secondary","unknown",7,423,1,0,"no"
"1386",55,"retired","married","primary","cellular",5,67,4,0,"no"
"1387",26,"technician","single","secondary","unknown",2,626,1,0,"no"
"1388",38,"technician","married","tertiary","cellular",18,578,2,0,"yes"
"1389",32,"blue-collar","married","secondary","unknown",9,61,1,0,"no"
"1390",31,"blue-collar","married","secondary","unknown",23,248,4,0,"no"
"1391",34,"technician","single","secondary","cellular",29,136,1,3,"no"
"1392",33,"technician","single","tertiary","cellular",21,126,3,0,"no"
"1393",35,"technician","married","secondary","telephone",28,653,3,0,"no"
"1394",44,"management","married","unknown","telephone",14,7,7,0,"no"
"1395",48,"management","divorced","tertiary","cellular",9,528,1,0,"no"
"1396",29,"blue-collar","married","secondary","cellular",13,785,1,0,"no"
"1397",50,"management","married","tertiary","cellular",9,243,5,0,"no"
"1398",37,"blue-collar","married","primary","cellular",13,24,2,1,"no"
"1399",44,"admin.","single","secondary","unknown",19,82,1,0,"no"
"1400",36,"unemployed","single","tertiary","unknown",11,952,3,0,"no"
"1401",49,"blue-collar","divorced","unknown","cellular",13,27,5,0,"no"
"1402",31,"blue-collar","married","secondary","unknown",5,143,1,0,"no"
"1403",49,"technician","divorced","secondary","unknown",12,274,6,0,"no"
"1404",35,"blue-collar","single","secondary","cellular",16,1174,1,4,"yes"
"1405",57,"admin.","divorced","unknown","cellular",20,915,1,0,"no"
"1406",42,"blue-collar","married","primary","cellular",5,115,1,0,"no"
"1407",36,"blue-collar","divorced","secondary","unknown",26,222,2,0,"no"
"1408",75,"retired","divorced","primary","cellular",15,341,1,0,"no"
"1409",38,"blue-collar","single","secondary","unknown",21,112,2,0,"no"
"1410",40,"blue-collar","married","primary","unknown",6,64,2,0,"no"
"1411",38,"services","single","secondary","cellular",13,937,3,0,"yes"
"1412",34,"management","single","tertiary","cellular",10,129,1,0,"no"
"1413",29,"technician","single","tertiary","cellular",11,59,1,0,"no"
"1414",28,"admin.","married","secondary","cellular",29,79,1,2,"no"
"1415",79,"retired","married","secondary","telephone",9,151,5,0,"no"
"1416",51,"admin.","divorced","secondary","unknown",19,83,1,0,"no"
"1417",32,"student","single","tertiary","cellular",6,101,5,6,"no"
"1418",36,"management","married","tertiary","cellular",5,157,3,2,"yes"
"1419",38,"entrepreneur","married","secondary","cellular",15,57,11,1,"no"
"1420",49,"self-employed","married","secondary","unknown",13,176,3,0,"no"
"1421",42,"services","married","secondary","cellular",11,222,3,0,"no"
"1422",43,"blue-collar","married","primary","unknown",2,217,4,0,"no"
"1423",34,"blue-collar","married","secondary","unknown",26,252,1,0,"no"
"1424",59,"retired","single","secondary","unknown",27,1063,5,0,"yes"
"1425",33,"blue-collar","single","secondary","unknown",20,27,25,0,"no"
"1426",34,"admin.","single","secondary","cellular",17,758,2,0,"no"
"1427",64,"retired","married","secondary","telephone",29,301,3,0,"yes"
"1428",34,"entrepreneur","married","tertiary","cellular",16,574,1,0,"no"
"1429",77,"retired","married","tertiary","cellular",16,847,1,1,"yes"
"1430",57,"retired","married","primary","telephone",30,78,5,0,"no"
"1431",30,"blue-collar","married","secondary","unknown",27,514,1,0,"no"
"1432",56,"housemaid","divorced","primary","unknown",5,1558,1,0,"yes"
"1433",73,"retired","married","primary","cellular",20,146,3,3,"no"
"1434",39,"technician","single","secondary","cellular",14,272,2,0,"no"
"1435",57,"technician","divorced","primary","cellular",8,323,2,2,"no"
"1436",32,"self-employed","married","secondary","cellular",11,712,2,0,"no"
"1437",32,"technician","single","tertiary","unknown",21,860,2,0,"yes"
"1438",45,"admin.","married","secondary","cellular",20,75,9,0,"no"
"1439",32,"blue-collar","married","secondary","unknown",19,191,4,0,"no"
