age,job,marital,education,contact,days_since _signed_in,Time spend on website,Number_of_campaigns,previous_purchases,Purchase_Made
50,self-employed,married,secondary,cellular,6,168,3,0,no
47,self-employed,married,tertiary,cellular,24,408,14,0,no
39,management,single,tertiary,cellular,23,56,4,0,no
52,services,married,primary,cellular,28,55,5,0,no
31,blue-collar,single,primary,unknown,29,76,4,0,no
50,blue-collar,married,primary,cellular,11,72,5,0,no
47,technician,married,secondary,cellular,13,99,3,0,no
30,management,single,tertiary,cellular,27,13,15,0,no
32,technician,single,tertiary,cellular,14,178,1,0,no
36,technician,married,secondary,unknown,9,287,1,0,no
46,technician,married,tertiary,cellular,14,141,1,2,no
45,management,divorced,tertiary,cellular,21,127,1,2,no
37,technician,single,secondary,cellular,4,69,2,0,no
58,housemaid,married,primary,unknown,4,763,4,0,no
59,management,married,tertiary,cellular,17,122,1,1,no
28,management,married,tertiary,cellular,18,143,1,0,no
48,management,married,tertiary,cellular,2,316,3,0,no
55,blue-collar,married,unknown,telephone,30,89,2,0,no
37,blue-collar,single,primary,cellular,15,151,1,1,no
41,management,married,tertiary,cellular,19,40,1,0,no
35,blue-collar,married,secondary,unknown,4,5,1,12,no
34,blue-collar,single,secondary,cellular,18,90,1,0,no
43,management,single,tertiary,cellular,21,50,1,5,no
59,technician,married,secondary,cellular,15,159,2,3,yes
50,blue-collar,divorced,primary,cellular,10,369,6,0,no
37,technician,married,secondary,cellular,22,344,2,8,yes
35,technician,married,secondary,cellular,4,256,2,1,no
50,technician,single,secondary,cellular,26,298,1,0,no
36,technician,divorced,secondary,cellular,11,268,3,0,no
41,admin.,married,secondary,cellular,13,231,1,0,no
28,management,married,tertiary,unknown,27,4,4,0,no
42,technician,single,tertiary,cellular,12,78,5,3,no
60,retired,married,secondary,unknown,5,419,1,0,no
28,management,single,tertiary,telephone,13,421,3,0,no
48,entrepreneur,married,secondary,cellular,10,105,1,0,no
51,entrepreneur,married,tertiary,unknown,6,42,1,0,no
32,technician,married,tertiary,cellular,26,114,7,3,no
35,technician,married,tertiary,cellular,26,286,2,0,no
37,technician,married,unknown,cellular,1,238,1,2,yes
38,blue-collar,divorced,secondary,unknown,11,91,1,0,no
77,retired,married,secondary,cellular,13,766,3,0,no
32,management,single,unknown,cellular,28,92,1,0,no
43,technician,divorced,secondary,cellular,4,211,3,0,no
36,management,single,tertiary,cellular,7,160,2,3,no
29,management,married,tertiary,cellular,3,166,3,0,no
32,admin.,single,secondary,cellular,21,195,1,0,no
41,management,divorced,tertiary,cellular,16,106,1,0,no
26,services,single,secondary,cellular,23,85,3,0,no
34,blue-collar,married,primary,cellular,24,78,1,0,no
57,retired,married,tertiary,unknown,28,648,1,0,yes
36,services,single,secondary,cellular,18,177,2,1,no
42,blue-collar,married,secondary,unknown,27,32,1,0,no
35,technician,divorced,secondary,cellular,29,24,12,0,no
52,entrepreneur,divorced,primary,unknown,7,688,2,0,no
36,management,single,tertiary,unknown,27,21,5,0,no
46,technician,married,secondary,unknown,27,112,1,0,no
60,management,divorced,tertiary,cellular,3,593,1,0,yes
57,housemaid,married,primary,cellular,7,59,2,0,no
48,management,married,tertiary,cellular,29,121,3,0,no
59,self-employed,married,primary,telephone,28,97,2,0,no
39,management,married,tertiary,cellular,11,86,2,0,no
44,blue-collar,married,secondary,cellular,14,10,10,0,no
27,management,single,tertiary,cellular,23,205,3,0,no
59,retired,married,secondary,unknown,9,77,2,0,no
36,technician,divorced,secondary,cellular,18,138,2,0,no
44,admin.,married,secondary,cellular,3,289,1,0,yes
50,admin.,married,secondary,cellular,4,86,4,0,no
41,management,divorced,tertiary,telephone,22,9,3,0,no
47,admin.,married,secondary,cellular,14,225,1,1,no
32,technician,single,tertiary,cellular,22,407,4,0,no
38,blue-collar,married,secondary,unknown,3,1030,6,0,no
55,blue-collar,married,unknown,cellular,13,123,2,0,no
38,management,single,tertiary,cellular,22,119,4,0,no
31,management,single,tertiary,cellular,18,175,1,5,no
38,blue-collar,divorced,secondary,unknown,9,299,5,0,no
29,unemployed,single,tertiary,cellular,5,563,1,0,no
55,services,married,secondary,unknown,9,241,1,0,no
35,unemployed,married,secondary,cellular,4,52,4,1,no
40,self-employed,single,tertiary,cellular,2,76,3,0,no
34,blue-collar,married,secondary,cellular,19,441,1,0,no
32,technician,single,tertiary,cellular,22,319,1,1,yes
33,blue-collar,married,secondary,unknown,18,13,1,6,no
33,management,married,tertiary,unknown,16,803,1,0,yes
37,admin.,married,secondary,cellular,12,396,2,0,no
58,management,married,tertiary,unknown,18,188,1,0,no
36,admin.,single,secondary,cellular,20,637,1,0,no
42,blue-collar,married,secondary,unknown,5,175,7,0,no
34,technician,single,secondary,cellular,6,945,1,1,no
35,management,married,tertiary,unknown,23,162,3,0,no
60,housemaid,married,primary,unknown,12,1178,3,0,no
50,management,married,tertiary,cellular,8,506,2,3,no
28,self-employed,single,tertiary,cellular,12,409,2,0,yes
27,blue-collar,divorced,secondary,cellular,14,116,3,0,no
37,management,married,tertiary,cellular,30,244,1,0,yes
31,technician,married,tertiary,cellular,4,352,4,0,yes
34,services,married,secondary,cellular,12,152,1,6,yes
38,management,married,tertiary,unknown,21,164,2,0,no
32,self-employed,married,secondary,unknown,28,234,3,0,no
37,technician,married,secondary,cellular,27,154,4,0,no
33,admin.,married,secondary,unknown,7,566,2,0,no
71,technician,married,tertiary,cellular,27,327,2,3,no
27,technician,married,secondary,cellular,7,265,3,0,no
38,blue-collar,married,primary,unknown,9,172,1,0,no
34,technician,single,secondary,cellular,22,257,2,0,no
54,retired,divorced,tertiary,unknown,13,618,1,0,yes
30,blue-collar,married,secondary,cellular,28,241,3,0,no
35,entrepreneur,single,secondary,cellular,21,936,4,0,no
33,blue-collar,single,secondary,cellular,7,329,1,1,no
36,management,married,secondary,cellular,14,24,1,1,no
59,self-employed,married,tertiary,cellular,22,177,5,1,no
72,blue-collar,married,primary,telephone,13,120,1,0,no
64,management,married,tertiary,telephone,22,135,3,0,no
53,technician,divorced,secondary,cellular,9,175,1,0,no
35,management,single,tertiary,cellular,25,179,1,0,no
58,self-employed,married,secondary,unknown,30,58,1,0,no
40,technician,married,secondary,cellular,17,342,2,0,no
41,services,divorced,secondary,cellular,13,139,2,0,no
48,retired,married,primary,unknown,18,88,8,0,no
44,entrepreneur,married,tertiary,cellular,28,210,3,0,no
39,blue-collar,married,unknown,cellular,2,731,1,3,no
61,management,married,tertiary,cellular,2,670,3,0,yes
36,entrepreneur,married,primary,unknown,12,63,5,0,no
28,management,married,tertiary,cellular,8,70,2,0,no
58,retired,single,secondary,cellular,4,72,6,4,no
60,admin.,divorced,secondary,cellular,15,241,1,1,no
66,admin.,single,secondary,cellular,5,272,4,0,no
36,management,single,tertiary,cellular,28,207,8,1,yes
49,self-employed,married,secondary,cellular,15,64,6,0,no
40,services,married,secondary,unknown,12,543,2,0,no
23,technician,single,secondary,cellular,30,166,1,0,no
29,management,single,tertiary,cellular,26,245,3,7,no
44,blue-collar,married,primary,unknown,9,94,1,0,no
47,blue-collar,married,primary,telephone,30,203,2,0,no
33,admin.,married,tertiary,cellular,24,318,1,0,no
30,self-employed,married,secondary,cellular,13,158,4,0,no
27,admin.,single,secondary,cellular,21,177,1,0,no
49,management,divorced,tertiary,unknown,17,56,1,2,no
27,services,single,secondary,unknown,4,172,2,0,no
51,blue-collar,married,secondary,cellular,7,136,1,1,no
32,admin.,divorced,secondary,cellular,18,82,3,2,no
30,blue-collar,single,secondary,unknown,16,123,1,0,no
33,admin.,married,secondary,cellular,20,110,1,0,no
27,blue-collar,single,primary,unknown,30,385,5,0,no
75,retired,divorced,secondary,cellular,18,415,7,0,yes
37,services,divorced,secondary,cellular,2,73,1,0,no
36,technician,single,secondary,unknown,16,243,2,0,no
37,blue-collar,married,secondary,unknown,9,137,2,0,no
35,management,married,tertiary,unknown,23,55,4,0,no
32,services,married,secondary,cellular,20,18,5,0,no
32,admin.,single,secondary,cellular,16,255,2,0,no
35,admin.,married,primary,cellular,11,95,1,0,no
31,blue-collar,married,primary,cellular,10,112,1,0,no
28,blue-collar,single,secondary,cellular,5,205,2,0,no
27,services,married,secondary,cellular,18,97,1,1,no
22,student,single,unknown,cellular,2,154,1,0,no
35,blue-collar,married,primary,cellular,13,135,2,2,no
69,retired,married,primary,cellular,14,230,1,0,no
37,entrepreneur,single,tertiary,cellular,17,349,1,0,no
45,admin.,single,secondary,cellular,8,38,1,0,no
47,management,married,tertiary,cellular,22,268,1,0,no
52,management,married,tertiary,cellular,11,94,4,0,no
33,services,married,secondary,cellular,28,263,2,0,no
60,blue-collar,married,primary,cellular,18,671,4,0,yes
33,management,divorced,secondary,unknown,2,197,1,0,no
44,admin.,married,secondary,cellular,28,180,2,0,no
38,entrepreneur,married,secondary,cellular,20,452,2,0,no
54,entrepreneur,married,secondary,unknown,15,352,1,0,no
32,unemployed,divorced,primary,cellular,15,175,4,0,no
33,technician,married,secondary,cellular,19,163,2,0,no
55,services,divorced,secondary,unknown,29,200,2,0,no
51,blue-collar,married,primary,unknown,16,75,7,0,no
48,blue-collar,married,secondary,cellular,16,227,1,0,no
37,services,single,secondary,cellular,3,586,3,0,no
33,services,single,secondary,cellular,10,119,5,0,no
30,blue-collar,married,primary,telephone,22,80,2,0,no
43,blue-collar,married,primary,cellular,12,112,2,3,no
49,technician,married,secondary,unknown,19,130,2,0,no
54,unemployed,married,primary,cellular,3,237,3,0,no
31,unemployed,married,tertiary,cellular,26,377,8,0,no
36,unemployed,married,secondary,cellular,29,121,3,0,no
30,admin.,married,secondary,cellular,15,127,5,0,no
27,technician,single,secondary,unknown,1,650,2,0,yes
30,admin.,married,secondary,unknown,16,107,1,0,no
30,blue-collar,married,secondary,unknown,20,610,2,0,no
35,technician,divorced,secondary,cellular,25,124,4,0,no
33,services,divorced,secondary,unknown,8,216,1,0,no
43,blue-collar,divorced,primary,cellular,31,747,4,0,no
41,blue-collar,married,secondary,cellular,11,313,1,3,no
41,management,divorced,tertiary,cellular,23,252,9,5,yes
46,admin.,divorced,secondary,cellular,13,121,1,0,yes
54,blue-collar,married,secondary,unknown,7,799,1,0,no
32,management,married,tertiary,cellular,23,883,1,4,no
30,technician,single,tertiary,unknown,16,197,1,0,no
40,entrepreneur,married,primary,cellular,11,271,2,0,no
30,blue-collar,married,primary,unknown,12,221,2,0,no
27,admin.,married,secondary,cellular,14,243,3,0,no
41,blue-collar,married,primary,unknown,15,72,1,0,no
54,services,married,secondary,cellular,2,155,2,0,no
32,management,single,tertiary,telephone,28,70,2,0,no
31,management,married,tertiary,cellular,11,280,4,0,yes
42,blue-collar,married,secondary,unknown,26,115,2,0,no
48,admin.,married,primary,unknown,20,29,2,0,no
34,blue-collar,married,primary,cellular,14,406,2,0,no
55,technician,divorced,secondary,cellular,25,113,3,0,no
49,technician,married,secondary,telephone,30,47,2,0,no
46,management,divorced,tertiary,unknown,5,36,2,0,no
47,entrepreneur,married,unknown,unknown,6,135,2,0,no
24,management,single,tertiary,cellular,3,67,2,0,no
58,entrepreneur,married,secondary,unknown,16,684,1,0,no
32,management,single,tertiary,cellular,21,686,5,0,yes
25,student,single,secondary,cellular,2,170,3,0,no
49,blue-collar,married,secondary,unknown,17,150,3,0,no
59,retired,divorced,secondary,cellular,14,1060,2,0,yes
30,management,single,tertiary,unknown,6,122,16,0,no
46,blue-collar,married,secondary,unknown,26,724,1,0,no
42,management,married,unknown,cellular,19,230,1,1,yes
37,entrepreneur,married,tertiary,unknown,20,187,2,0,no
44,blue-collar,married,primary,unknown,19,179,4,0,no
49,services,married,secondary,cellular,4,357,3,0,no
41,blue-collar,married,secondary,unknown,5,82,1,0,no
48,technician,married,tertiary,telephone,26,176,15,0,no
31,management,married,secondary,cellular,7,424,1,1,no
37,student,married,unknown,unknown,18,115,1,0,no
51,services,married,secondary,cellular,3,177,2,3,no
80,retired,married,secondary,telephone,9,712,1,12,yes
32,management,single,tertiary,unknown,6,118,1,0,no
48,services,married,primary,unknown,2,25,7,0,no
49,blue-collar,married,tertiary,unknown,12,753,1,0,no
30,management,married,tertiary,cellular,17,124,1,0,no
27,self-employed,single,secondary,cellular,30,208,2,0,no
34,technician,married,secondary,cellular,13,136,4,0,no
49,management,married,secondary,cellular,19,1081,2,0,yes
48,management,married,tertiary,telephone,7,376,2,7,no
40,services,married,secondary,cellular,4,78,1,0,no
38,blue-collar,married,secondary,cellular,18,354,1,0,no
46,blue-collar,married,primary,cellular,6,29,1,2,no
41,entrepreneur,married,tertiary,cellular,19,209,1,4,no
28,management,single,tertiary,cellular,14,433,1,0,no
51,services,married,unknown,unknown,29,147,2,0,no
33,blue-collar,divorced,primary,telephone,11,41,2,5,no
26,management,single,tertiary,unknown,26,111,1,0,no
34,admin.,single,secondary,cellular,14,108,2,0,no
27,blue-collar,married,secondary,cellular,7,411,2,0,no
42,self-employed,married,secondary,cellular,10,108,2,0,no
45,admin.,married,secondary,cellular,3,224,2,0,yes
31,technician,single,secondary,unknown,12,1083,2,0,no
32,management,single,tertiary,unknown,12,757,2,0,yes
39,blue-collar,married,primary,unknown,17,57,1,0,no
26,blue-collar,single,secondary,cellular,30,95,5,0,no
40,management,single,tertiary,cellular,15,144,2,1,no
52,services,married,secondary,cellular,16,135,1,0,no
40,technician,single,tertiary,cellular,15,176,2,0,no
48,technician,married,secondary,cellular,7,524,5,0,no
31,services,married,secondary,unknown,13,65,1,0,no
27,admin.,married,secondary,cellular,6,653,1,2,yes
47,technician,married,secondary,unknown,11,91,1,2,yes
28,management,single,secondary,cellular,10,93,1,0,yes
40,management,divorced,tertiary,cellular,6,503,2,2,no
34,admin.,married,secondary,cellular,13,186,1,2,no
29,self-employed,married,tertiary,unknown,23,121,2,0,no
36,management,married,tertiary,cellular,19,452,2,0,no
83,retired,married,primary,telephone,22,883,1,1,yes
55,services,divorced,primary,unknown,15,104,2,0,no
43,management,divorced,tertiary,cellular,29,24,3,0,no
23,student,single,secondary,telephone,19,79,9,0,no
44,technician,married,tertiary,cellular,4,178,2,0,no
58,blue-collar,married,primary,cellular,15,74,2,0,no
29,admin.,single,secondary,cellular,10,217,1,7,no
30,management,single,tertiary,cellular,2,475,1,0,no
29,admin.,single,secondary,cellular,7,127,1,0,no
41,technician,married,secondary,cellular,11,101,1,0,no
35,housemaid,married,primary,cellular,14,340,3,0,no
31,technician,single,secondary,cellular,23,158,4,0,no
27,admin.,single,tertiary,cellular,29,242,1,0,no
47,services,married,secondary,unknown,16,323,1,0,no
53,self-employed,married,tertiary,unknown,16,18,30,0,no
34,management,married,tertiary,cellular,14,68,3,0,no
34,blue-collar,married,primary,cellular,9,134,4,0,no
36,management,married,tertiary,cellular,14,113,3,0,no
40,technician,married,secondary,cellular,18,43,4,0,no
37,self-employed,single,tertiary,unknown,17,200,2,0,no
65,retired,divorced,unknown,cellular,2,245,2,0,no
53,technician,divorced,secondary,unknown,16,343,4,0,no
28,technician,single,secondary,cellular,3,229,1,0,no
33,technician,divorced,tertiary,unknown,23,530,1,0,no
56,blue-collar,married,primary,cellular,13,58,5,0,no
45,self-employed,married,secondary,cellular,30,78,2,1,no
39,technician,married,secondary,unknown,5,147,1,0,no
28,management,single,tertiary,cellular,25,40,1,0,no
36,blue-collar,married,primary,cellular,18,618,2,0,no
41,blue-collar,married,primary,cellular,20,23,4,0,no
46,admin.,married,secondary,cellular,20,293,1,4,yes
41,blue-collar,married,secondary,cellular,13,16,6,5,no
59,services,married,secondary,cellular,23,286,2,0,no
24,admin.,married,secondary,cellular,6,209,1,1,no
34,management,married,tertiary,unknown,21,935,1,0,no
40,blue-collar,married,primary,unknown,27,260,1,0,no
42,admin.,married,secondary,unknown,16,298,4,0,no
50,services,married,secondary,cellular,15,397,2,1,no
25,management,single,tertiary,cellular,17,113,4,1,no
51,services,divorced,secondary,telephone,17,76,1,0,no
50,management,married,tertiary,cellular,1,141,1,0,no
37,blue-collar,married,unknown,unknown,23,773,2,0,no
21,services,single,secondary,telephone,5,329,1,1,no
52,blue-collar,married,secondary,unknown,7,423,1,0,no
55,retired,married,primary,cellular,5,67,4,0,no
26,technician,single,secondary,unknown,2,626,1,0,no
38,technician,married,tertiary,cellular,18,578,2,0,yes
32,blue-collar,married,secondary,unknown,9,61,1,0,no
31,blue-collar,married,secondary,unknown,23,248,4,0,no
34,technician,single,secondary,cellular,29,136,1,3,no
33,technician,single,tertiary,cellular,21,126,3,0,no
35,technician,married,secondary,telephone,28,653,3,0,no
44,management,married,unknown,telephone,14,7,7,0,no
48,management,divorced,tertiary,cellular,9,528,1,0,no
29,blue-collar,married,secondary,cellular,13,785,1,0,no
50,management,married,tertiary,cellular,9,243,5,0,no
37,blue-collar,married,primary,cellular,13,24,2,1,no
44,admin.,single,secondary,unknown,19,82,1,0,no
36,unemployed,single,tertiary,unknown,11,952,3,0,no
49,blue-collar,divorced,unknown,cellular,13,27,5,0,no
31,blue-collar,married,secondary,unknown,5,143,1,0,no
49,technician,divorced,secondary,unknown,12,274,6,0,no
35,blue-collar,single,secondary,cellular,16,1174,1,4,yes
57,admin.,divorced,unknown,cellular,20,915,1,0,no
42,blue-collar,married,primary,cellular,5,115,1,0,no
36,blue-collar,divorced,secondary,unknown,26,222,2,0,no
75,retired,divorced,primary,cellular,15,341,1,0,no
38,blue-collar,single,secondary,unknown,21,112,2,0,no
40,blue-collar,married,primary,unknown,6,64,2,0,no
38,services,single,secondary,cellular,13,937,3,0,yes
34,management,single,tertiary,cellular,10,129,1,0,no
29,technician,single,tertiary,cellular,11,59,1,0,no
28,admin.,married,secondary,cellular,29,79,1,2,no
79,retired,married,secondary,telephone,9,151,5,0,no
51,admin.,divorced,secondary,unknown,19,83,1,0,no
32,student,single,tertiary,cellular,6,101,5,6,no
36,management,married,tertiary,cellular,5,157,3,2,yes
38,entrepreneur,married,secondary,cellular,15,57,11,1,no
49,self-employed,married,secondary,unknown,13,176,3,0,no
42,services,married,secondary,cellular,11,222,3,0,no
43,blue-collar,married,primary,unknown,2,217,4,0,no
34,blue-collar,married,secondary,unknown,26,252,1,0,no
59,retired,single,secondary,unknown,27,1063,5,0,yes
33,blue-collar,single,secondary,unknown,20,27,25,0,no
34,admin.,single,secondary,cellular,17,758,2,0,no
64,retired,married,secondary,telephone,29,301,3,0,yes
34,entrepreneur,married,tertiary,cellular,16,574,1,0,no
77,retired,married,tertiary,cellular,16,847,1,1,yes
57,retired,married,primary,telephone,30,78,5,0,no
30,blue-collar,married,secondary,unknown,27,514,1,0,no
56,housemaid,divorced,primary,unknown,5,1558,1,0,yes
73,retired,married,primary,cellular,20,146,3,3,no
39,technician,single,secondary,cellular,14,272,2,0,no
57,technician,divorced,primary,cellular,8,323,2,2,no
32,self-employed,married,secondary,cellular,11,712,2,0,no
32,technician,single,tertiary,unknown,21,860,2,0,yes
45,admin.,married,secondary,cellular,20,75,9,0,no
32,blue-collar,married,secondary,unknown,19,191,4,0,no
31,management,married,tertiary,cellular,24,1441,2,0,yes
49,self-employed,married,secondary,cellular,12,428,2,0,no
29,services,married,secondary,cellular,28,322,3,0,no
55,technician,married,secondary,cellular,29,104,1,0,no
30,admin.,married,secondary,cellular,8,127,1,0,no
45,services,single,primary,unknown,3,1259,6,0,yes
39,technician,married,tertiary,cellular,28,114,2,0,no
36,admin.,married,secondary,unknown,13,106,1,0,no
33,management,married,tertiary,cellular,19,305,1,3,no
36,management,married,tertiary,cellular,12,307,1,0,yes
31,technician,single,secondary,cellular,11,1504,2,0,no
36,technician,married,unknown,cellular,11,396,3,0,no
38,technician,single,tertiary,cellular,1,71,1,0,no
40,technician,married,secondary,unknown,13,134,2,0,no
31,blue-collar,married,secondary,cellular,5,166,2,0,yes
39,services,married,secondary,cellular,31,81,5,0,no
33,admin.,married,tertiary,cellular,4,77,2,0,no
53,services,divorced,secondary,cellular,12,80,2,0,yes
38,management,married,tertiary,cellular,13,537,5,2,no
59,technician,married,secondary,cellular,15,415,1,1,yes
55,blue-collar,married,primary,cellular,19,291,1,0,no
38,technician,single,tertiary,cellular,14,283,1,12,no
48,services,married,secondary,telephone,20,70,4,0,no
53,blue-collar,married,secondary,unknown,5,611,2,0,no
44,admin.,divorced,secondary,cellular,9,132,3,0,no
57,management,married,tertiary,unknown,18,26,1,0,no
29,blue-collar,single,secondary,cellular,11,262,3,0,no
31,services,married,secondary,unknown,21,272,1,0,no
35,technician,single,tertiary,cellular,28,137,1,3,no
31,blue-collar,married,primary,cellular,30,95,1,0,no
35,self-employed,married,tertiary,cellular,19,140,2,0,no
40,management,single,secondary,unknown,16,71,11,0,no
39,blue-collar,married,secondary,cellular,7,502,1,2,no
43,technician,single,tertiary,unknown,3,164,7,0,no
44,entrepreneur,married,primary,unknown,15,219,1,0,no
29,technician,single,secondary,cellular,12,328,2,4,yes
40,technician,married,secondary,unknown,14,224,2,0,no
33,entrepreneur,married,primary,cellular,18,63,2,0,no
46,management,married,tertiary,cellular,29,24,13,0,no
26,admin.,single,secondary,cellular,30,84,3,0,no
41,technician,married,secondary,cellular,9,175,1,0,no
34,technician,married,tertiary,cellular,21,12,21,0,no
39,technician,single,tertiary,cellular,25,40,15,0,no
27,services,single,secondary,cellular,18,217,1,0,no
31,blue-collar,married,secondary,cellular,23,235,11,0,no
44,unemployed,single,secondary,cellular,28,255,1,0,no
55,retired,married,tertiary,cellular,8,256,1,0,no
51,blue-collar,divorced,primary,telephone,30,41,2,0,no
50,management,married,tertiary,unknown,25,75,1,0,no
30,services,married,secondary,cellular,5,192,4,0,no
46,technician,married,secondary,unknown,28,796,1,0,yes
49,admin.,married,secondary,cellular,25,220,3,0,no
56,retired,married,secondary,cellular,12,614,2,0,no
47,admin.,divorced,secondary,cellular,28,1126,4,0,yes
30,admin.,married,secondary,telephone,16,161,2,0,no
36,entrepreneur,single,secondary,cellular,25,141,3,0,no
40,management,married,tertiary,telephone,25,697,1,0,no
37,technician,single,secondary,unknown,9,223,2,0,no
42,admin.,divorced,secondary,cellular,30,931,1,0,yes
45,technician,married,secondary,cellular,17,483,1,1,no
34,unemployed,single,secondary,cellular,17,63,2,0,no
27,admin.,single,secondary,cellular,11,271,5,0,no
30,blue-collar,married,secondary,cellular,15,144,5,0,no
32,technician,married,secondary,cellular,8,79,3,0,no
46,housemaid,married,primary,telephone,21,171,1,0,no
29,self-employed,married,tertiary,cellular,18,73,4,0,no
32,technician,married,secondary,cellular,20,60,1,4,no
49,unemployed,married,secondary,unknown,14,257,1,0,no
35,management,married,tertiary,cellular,4,198,2,1,no
38,blue-collar,married,secondary,cellular,13,217,3,1,no
39,entrepreneur,married,primary,cellular,19,134,1,0,no
34,technician,single,secondary,cellular,26,41,1,0,no
42,blue-collar,married,primary,cellular,19,611,2,12,no
35,blue-collar,single,unknown,unknown,6,216,3,0,no
60,admin.,married,secondary,cellular,6,388,8,0,no
57,technician,divorced,secondary,unknown,5,242,1,0,no
31,blue-collar,single,secondary,cellular,7,387,1,0,no
29,management,single,secondary,cellular,7,90,1,0,no
41,services,married,secondary,telephone,20,281,2,0,no
46,blue-collar,married,primary,cellular,17,332,1,0,no
33,technician,married,secondary,cellular,4,218,1,0,yes
32,blue-collar,single,secondary,unknown,21,650,2,0,no
54,management,divorced,tertiary,telephone,18,1034,1,0,yes
37,services,married,secondary,cellular,8,182,2,2,no
32,technician,single,secondary,cellular,25,156,1,0,no
43,management,married,tertiary,cellular,6,171,3,0,no
50,blue-collar,divorced,secondary,telephone,19,265,1,4,no
34,blue-collar,married,secondary,cellular,20,10,3,0,no
31,admin.,divorced,secondary,cellular,16,350,1,0,no
43,self-employed,married,secondary,cellular,17,65,1,1,no
49,entrepreneur,married,secondary,cellular,23,58,1,0,no
22,student,single,unknown,cellular,3,69,3,0,no
35,management,married,tertiary,cellular,29,127,2,0,no
56,admin.,married,secondary,telephone,19,154,2,0,no
53,blue-collar,married,secondary,telephone,31,36,4,0,no
54,entrepreneur,married,tertiary,cellular,5,85,7,3,no
32,services,single,unknown,cellular,14,362,1,13,no
41,self-employed,married,secondary,cellular,11,49,1,0,no
40,blue-collar,married,secondary,cellular,6,410,1,0,no
33,blue-collar,married,primary,cellular,8,253,3,0,no
33,management,single,tertiary,cellular,19,570,1,0,no
34,blue-collar,married,secondary,cellular,24,633,7,0,no
36,services,married,secondary,unknown,6,82,4,0,no
34,entrepreneur,married,tertiary,cellular,8,164,1,0,no
55,management,married,primary,unknown,9,175,3,0,no
28,student,single,tertiary,cellular,15,659,4,0,yes
29,admin.,single,secondary,cellular,17,139,2,0,no
31,admin.,single,secondary,unknown,4,43,11,0,no
52,management,married,tertiary,cellular,22,343,5,0,no
54,services,married,unknown,cellular,19,74,1,1,no
43,blue-collar,married,primary,unknown,15,302,8,0,no
55,entrepreneur,married,secondary,cellular,14,455,13,0,no
28,blue-collar,divorced,unknown,unknown,28,126,4,0,no
45,unemployed,divorced,secondary,cellular,18,107,1,0,no
45,entrepreneur,married,primary,unknown,14,120,1,0,no
51,management,married,tertiary,cellular,18,727,4,0,no
42,technician,single,secondary,unknown,7,275,4,0,no
34,management,married,tertiary,cellular,18,61,4,0,no
36,blue-collar,married,primary,cellular,15,232,2,5,no
37,blue-collar,married,secondary,cellular,10,214,1,0,no
50,blue-collar,married,secondary,telephone,11,21,1,0,no
42,management,divorced,unknown,cellular,16,138,2,0,yes
34,blue-collar,single,primary,cellular,18,173,1,2,no
48,management,married,secondary,cellular,16,635,1,0,no
47,admin.,married,secondary,cellular,14,77,2,0,no
40,management,married,tertiary,unknown,12,73,1,0,no
37,management,married,tertiary,cellular,18,540,2,3,no
38,blue-collar,married,primary,unknown,3,179,2,0,no
29,technician,single,tertiary,cellular,17,119,1,0,no
46,blue-collar,married,primary,telephone,20,107,1,1,no
26,blue-collar,married,secondary,unknown,19,48,2,0,no
30,services,single,tertiary,unknown,29,447,4,0,no
42,blue-collar,married,secondary,cellular,17,430,2,0,no
42,management,single,tertiary,cellular,7,64,2,0,no
31,admin.,single,secondary,unknown,28,217,5,0,no
37,management,single,tertiary,cellular,7,77,1,0,no
26,blue-collar,married,secondary,unknown,26,16,11,0,no
54,blue-collar,married,unknown,cellular,4,753,2,0,no
70,retired,married,secondary,cellular,26,125,2,1,no
29,self-employed,single,secondary,unknown,28,1210,1,0,no
50,services,married,secondary,cellular,9,185,1,0,no
60,unemployed,divorced,secondary,cellular,4,80,1,0,no
32,technician,single,secondary,cellular,19,156,2,0,no
32,technician,married,secondary,cellular,29,403,3,0,no
34,self-employed,single,tertiary,cellular,17,145,2,0,no
48,services,single,primary,cellular,12,17,7,0,no
25,student,married,tertiary,cellular,9,160,1,0,no
32,management,married,secondary,cellular,18,486,2,2,no
32,blue-collar,married,primary,cellular,3,321,1,0,no
47,admin.,divorced,secondary,unknown,9,203,4,0,no
32,technician,married,unknown,cellular,31,646,3,2,no
49,management,single,tertiary,cellular,8,97,3,0,yes
53,services,married,secondary,cellular,16,144,2,0,no
41,blue-collar,single,unknown,unknown,20,30,6,0,no
47,management,divorced,tertiary,cellular,15,82,2,0,no
35,blue-collar,married,primary,unknown,13,326,4,0,no
33,management,single,secondary,cellular,19,414,3,0,no
49,blue-collar,married,primary,cellular,16,285,5,0,no
46,management,divorced,tertiary,cellular,11,716,3,0,yes
29,management,divorced,tertiary,unknown,28,449,4,0,no
58,self-employed,married,primary,unknown,17,16,3,0,no
40,admin.,single,secondary,unknown,2,65,1,0,no
34,management,married,tertiary,cellular,18,138,1,0,no
60,retired,married,primary,cellular,10,121,3,0,no
43,management,married,tertiary,cellular,27,140,2,0,no
50,blue-collar,married,primary,cellular,18,256,6,0,no
33,blue-collar,married,secondary,cellular,31,61,4,0,no
37,blue-collar,married,primary,cellular,14,367,2,0,no
55,self-employed,married,secondary,telephone,14,9,5,12,no
45,blue-collar,single,primary,cellular,15,395,4,0,no
