"","age","days_since._signed_in","Time.spend.on.website","Number_of_campaigns","previous_purchases","Purchase_Made","admin.","bluecollar","entrepreneur","housemaid","management","retired","selfemployed","services","student","technician","married","single","primary","secondary","tertiary","cellular","telephone"
"1233",28,5,205,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"1234",27,18,97,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"1235",22,2,154,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"1236",35,13,135,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"1237",69,14,230,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
"1238",37,17,349,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"1239",45,8,38,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"1240",47,22,268,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"1241",52,11,94,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"1242",33,28,263,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"1243",60,18,671,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"1244",33,2,197,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"1245",44,28,180,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1246",38,20,452,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1247",54,15,352,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1248",32,15,175,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"1249",33,19,163,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"1250",55,29,200,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"1251",51,16,75,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"1252",48,16,227,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1253",37,3,586,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
"1254",33,10,119,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
"1255",30,22,80,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"1256",43,12,112,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"1257",49,19,130,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"1258",54,3,237,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"1259",31,26,377,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"1260",36,29,121,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1261",30,15,127,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1262",27,1,650,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"1263",30,16,107,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1264",30,20,610,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1265",35,25,124,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
"1266",33,8,216,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"1267",43,31,747,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"1268",41,11,313,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1269",41,23,252,9,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"1270",46,13,121,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"1271",54,7,799,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1272",32,23,883,1,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"1273",30,16,197,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
"1274",40,11,271,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"1275",30,12,221,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"1276",27,14,243,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1277",41,15,72,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"1278",54,2,155,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"1279",32,28,70,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
"1280",31,11,280,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"1281",42,26,115,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1282",48,20,29,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"1283",34,14,406,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"1284",55,25,113,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
"1285",49,30,47,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
"1286",46,5,36,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"1287",47,6,135,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1288",24,3,67,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"1289",58,16,684,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1290",32,21,686,5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"1291",25,2,170,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"1292",49,17,150,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1293",59,14,1060,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"1294",30,6,122,16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"1295",46,26,724,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1296",42,19,230,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"1297",37,20,187,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"1298",44,19,179,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"1299",49,4,357,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"1300",41,5,82,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1301",48,26,176,15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
"1302",31,7,424,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
"1303",37,18,115,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"1304",51,3,177,2,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"1305",80,9,712,1,12,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
"1306",32,6,118,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"1307",48,2,25,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"1308",49,12,753,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"1309",30,17,124,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"1310",27,30,208,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
"1311",34,13,136,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"1312",49,19,1081,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
"1313",48,7,376,2,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
"1314",40,4,78,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"1315",38,18,354,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1316",46,6,29,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"1317",41,19,209,1,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"1318",28,14,433,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"1319",51,29,147,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"1320",33,11,41,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"1321",26,26,111,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"1322",34,14,108,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"1323",27,7,411,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1324",42,10,108,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
"1325",45,3,224,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1326",31,12,1083,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"1327",32,12,757,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"1328",39,17,57,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"1329",26,30,95,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"1330",40,15,144,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"1331",52,16,135,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"1332",40,15,176,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
"1333",48,7,524,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"1334",31,13,65,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"1335",27,6,653,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1336",47,11,91,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"1337",28,10,93,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
"1338",40,6,503,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"1339",34,13,186,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1340",29,23,121,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"1341",36,19,452,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"1342",83,22,883,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
"1343",55,15,104,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"1344",43,29,24,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"1345",23,19,79,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
"1346",44,4,178,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
"1347",58,15,74,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"1348",29,10,217,1,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"1349",30,2,475,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"1350",29,7,127,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"1351",41,11,101,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"1352",35,14,340,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
"1353",31,23,158,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"1354",27,29,242,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"1355",47,16,323,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"1356",53,16,18,30,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"1357",34,14,68,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"1358",34,9,134,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"1359",36,14,113,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"1360",40,18,43,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"1361",37,17,200,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"1362",65,2,245,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"1363",53,16,343,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"1364",28,3,229,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"1365",33,23,530,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1366",56,13,58,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"1367",45,30,78,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
"1368",39,5,147,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"1369",28,25,40,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"1370",36,18,618,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"1371",41,20,23,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"1372",46,20,293,1,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1373",41,13,16,6,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1374",59,23,286,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"1375",24,6,209,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1376",34,21,935,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"1377",40,27,260,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"1378",42,16,298,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1379",50,15,397,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"1380",25,17,113,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"1381",51,17,76,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"1382",50,1,141,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"1383",37,23,773,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1384",21,5,329,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
"1385",52,7,423,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1386",55,5,67,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
"1387",26,2,626,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"1388",38,18,578,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
"1389",32,9,61,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1390",31,23,248,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1391",34,29,136,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"1392",33,21,126,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
"1393",35,28,653,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
"1394",44,14,7,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"1395",48,9,528,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"1396",29,13,785,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1397",50,9,243,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"1398",37,13,24,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"1399",44,19,82,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"1400",36,11,952,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"1401",49,13,27,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1402",31,5,143,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1403",49,12,274,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"1404",35,16,1174,1,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"1405",57,20,915,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1406",42,5,115,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"1407",36,26,222,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1408",75,15,341,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"1409",38,21,112,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"1410",40,6,64,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"1411",38,13,937,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
"1412",34,10,129,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"1413",29,11,59,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
"1414",28,29,79,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1415",79,9,151,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
"1416",51,19,83,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1417",32,6,101,5,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
"1418",36,5,157,3,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"1419",38,15,57,11,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1420",49,13,176,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"1421",42,11,222,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"1422",43,2,217,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"1423",34,26,252,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1424",59,27,1063,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"1425",33,20,27,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"1426",34,17,758,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"1427",64,29,301,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
"1428",34,16,574,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"1429",77,16,847,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
"1430",57,30,78,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
"1431",30,27,514,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1432",56,5,1558,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"1433",73,20,146,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
"1434",39,14,272,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"1435",57,8,323,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"1436",32,11,712,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
"1437",32,21,860,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
"1438",45,20,75,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1439",32,19,191,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1440",31,24,1441,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"1441",49,12,428,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
"1442",29,28,322,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"1443",55,29,104,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"1444",30,8,127,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1445",45,3,1259,6,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"1446",39,28,114,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
"1447",36,13,106,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1448",33,19,305,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"1449",36,12,307,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"1450",31,11,1504,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"1451",36,11,396,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"1452",38,1,71,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
"1453",40,13,134,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"1454",31,5,166,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1455",39,31,81,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"1456",33,4,77,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"1457",53,12,80,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"1458",38,13,537,5,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"1459",59,15,415,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"1460",55,19,291,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"1461",38,14,283,1,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
"1462",48,20,70,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
"1463",53,5,611,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1464",44,9,132,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"1465",57,18,26,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"1466",29,11,262,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"1467",31,21,272,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"1468",35,28,137,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
"1469",31,30,95,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"1470",35,19,140,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
"1471",40,16,71,11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"1472",39,7,502,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1473",43,3,164,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
"1474",44,15,219,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"1475",29,12,328,2,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"1476",40,14,224,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"1477",33,18,63,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"1478",46,29,24,13,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"1479",26,30,84,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"1480",41,9,175,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"1481",34,21,12,21,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
"1482",39,25,40,15,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
"1483",27,18,217,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
"1484",31,23,235,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1485",44,28,255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"1486",55,8,256,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
"1487",51,30,41,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"1488",50,25,75,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"1489",30,5,192,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"1490",46,28,796,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"1491",49,25,220,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1492",56,12,614,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
"1493",47,28,1126,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"1494",30,16,161,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
"1495",36,25,141,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"1496",40,25,697,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
"1497",37,9,223,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"1498",42,30,931,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"1499",45,17,483,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"1500",34,17,63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"1501",27,11,271,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"1502",30,15,144,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"1503",32,8,79,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"1504",46,21,171,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
"1505",29,18,73,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
"1506",32,20,60,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"1507",49,14,257,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1508",35,4,198,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"1509",38,13,217,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
